Datum,Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh),Temp_Max,Temp_Min,Niederschlag,Windgeschwindigkeit,Windrichtung
2020-01-01,468837.03,441093.57,34.964166666666664,1.8,-4.9,0.0,9.7,105
2020-01-02,505002.46,605620.76,38.869166666666665,2.4,-6.1,0.0,9.0,170
2020-01-03,427798.33,968577.88,26.11125,5.4,-3.4,0.3,21.6,201
2020-01-04,411321.39999999997,987041.46,20.322916666666668,5.1,2.5,3.4,27.4,278
2020-01-05,508187.8,514534.0,35.5525,2.8,-0.5,0.2,20.9,306
2020-01-06,642899.08,603746.09,38.134166666666665,3.1,-3.6,0.0,10.2,158
2020-01-07,744675.06,678045.61,40.52375,2.1,-3.6,0.4,11.9,251
2020-01-08,744989.3,758546.49,33.581250000000004,2.9,-0.9,1.3,9.4,175
2020-01-09,677095.1,727855.02,36.248333333333335,6.5,2.5,1.6,12.3,160
2020-01-10,657416.93,815878.37,34.79958333333333,8.9,2.9,1.4,15.3,232
2020-01-11,572021.32,727147.7,31.855833333333333,5.3,-0.9,1.4,17.8,277
2020-01-12,412241.19,982066.01,22.6375,4.2,-3.1,0.0,10.2,199
2020-01-13,691466.79,653957.79,37.68,2.3,-0.6,0.2,10.7,166
2020-01-14,481688.37,1118377.74,23.355416666666667,5.3,-1.9,0.0,14.2,159
2020-01-15,479511.53,1077928.6,24.959999999999997,5.2,-1.1,0.0,14.5,157
2020-01-16,679178.75,694046.9,38.17,6.1,-1.4,0.2,10.4,135
2020-01-17,664758.83,797974.43,36.895,3.4,-2.6,0.3,10.3,138
2020-01-18,589456.65,721567.68,31.847916666666666,4.6,-0.0,0.8,12.6,270
2020-01-19,621767.71,481595.16,33.8925,2.8,-1.3,0.4,10.3,316
2020-01-20,951282.54,434619.63,44.53375,4.3,-3.8,0.0,9.0,53
2020-01-21,954013.55,603469.44,41.597500000000004,3.0,-4.9,0.0,7.7,61
2020-01-22,1039493.22,439948.36,45.90208333333334,1.0,-5.8,0.0,8.4,277
2020-01-23,1085335.81,308342.3,51.5375,3.4,-5.2,0.0,9.0,72
2020-01-24,1062287.93,419899.31,50.244166666666665,1.5,-5.0,0.0,7.9,190
2020-01-25,888754.52,375213.69,40.35,3.0,-3.6,0.0,7.0,191
2020-01-26,661723.62,436550.23,33.889583333333334,2.5,-1.1,0.7,9.9,152
2020-01-27,686986.67,761511.18,37.48833333333334,7.1,-1.2,0.3,12.3,160
2020-01-28,492391.39,1005785.8300000001,31.61,5.3,0.8,7.6,32.4,236
2020-01-29,501450.89,1048630.44,33.22416666666667,3.9,-0.3,2.6,26.3,266
2020-01-30,477082.84,1047873.42,32.82041666666667,7.3,0.0,0.8,21.3,241
2020-01-31,398293.03,1097995.93,22.483333333333334,11.2,5.6,4.5,25.3,259
2020-02-01,274378.08,1114299.07,6.835,14.0,8.0,8.2,26.3,243
2020-02-02,326095.73,775360.26,16.987916666666667,11.3,4.9,9.1,31.8,263
2020-02-03,445085.94,865936.14,27.657916666666665,9.7,6.1,9.5,28.5,265
2020-02-04,501414.16000000003,910102.36,27.875416666666666,9.9,0.7,15.6,33.8,290
2020-02-05,742586.86,653154.75,36.19916666666666,3.5,-3.0,0.6,27.3,327
2020-02-06,877473.15,552469.55,36.919583333333335,3.1,-2.8,0.0,11.3,292
2020-02-07,826639.15,488522.61,36.68666666666667,3.3,-1.9,0.0,9.3,117
2020-02-08,479135.15,705660.46,28.050416666666667,4.8,-2.8,0.0,11.1,151
2020-02-09,275924.43,1079053.75,1.5662500000000001,10.4,-2.0,0.0,25.0,178
2020-02-10,342716.96,1183461.39,7.881666666666667,12.3,2.7,9.8,45.1,248
2020-02-11,351153.81,1257586.2,11.62,5.2,2.2,7.2,34.5,265
2020-02-12,394610.42,1175724.1400000001,19.46125,3.8,0.5,3.0,31.3,264
2020-02-13,559676.12,819684.8,37.58875,6.8,-1.3,5.9,20.9,187
2020-02-14,663006.5,491969.78,36.03458333333334,6.0,2.3,4.6,23.5,273
2020-02-15,322473.71,952264.62,20.436249999999998,8.9,0.7,0.0,12.8,171
2020-02-16,252739.69,1152357.76,-8.274166666666668,13.4,2.4,0.1,16.3,173
2020-02-17,367994.93,1073282.98,18.246666666666666,13.0,6.0,8.9,20.6,254
2020-02-18,367162.22,1170720.08,21.86708333333333,6.9,2.2,0.6,27.8,256
2020-02-19,420966.41,1039017.51,30.910833333333333,5.0,0.5,2.4,23.6,253
2020-02-20,423317.83,960903.82,28.677083333333332,6.6,0.3,0.9,11.9,211
2020-02-21,344205.9,1129982.15,24.327916666666667,5.9,1.9,2.1,36.1,271
2020-02-22,243166.11,1236952.5,-1.50875,12.0,1.0,0.5,22.5,242
2020-02-23,238573.42,1063868.87,6.952500000000001,12.2,7.1,7.4,38.6,258
2020-02-24,391664.02,874209.13,28.485833333333332,8.6,2.6,3.3,28.0,245
2020-02-25,421191.46,1085359.56,24.10166666666667,9.0,4.9,6.1,20.9,250
2020-02-26,565027.42,693951.09,31.67125,4.2,0.7,5.4,29.6,263
2020-02-27,686191.91,552006.51,38.442083333333336,5.0,0.1,15.3,22.5,223
2020-02-28,551907.2,894168.9,31.040000000000003,3.5,-1.1,2.2,29.0,285
2020-02-29,271194.21,1067827.415,8.886739130434783,9.3,0.5,6.5,21.7,174
2020-03-01,296020.32,1012990.35,7.140416666666667,10.1,4.1,0.5,23.4,216
2020-03-02,675190.08,563391.58,33.17916666666667,10.0,0.8,2.5,22.9,182
2020-03-03,808372.4,528377.96,36.24916666666667,6.2,0.5,3.4,25.5,277
2020-03-04,836681.8,490111.48,39.61083333333333,5.6,-2.5,1.5,18.0,251
2020-03-05,732841.86,580726.98,36.071666666666665,6.5,-3.0,7.4,16.1,151
2020-03-06,581543.39,772137.36,30.477500000000003,7.1,2.9,3.2,22.4,239
2020-03-07,488329.85,650416.31,29.08875,5.5,0.8,1.6,20.8,279
2020-03-08,318036.28,883351.4,17.106666666666666,8.7,-0.6,0.0,14.0,210
2020-03-09,600054.52,590890.23,37.11333333333334,8.8,2.1,1.3,16.1,259
2020-03-10,417567.25,1129297.7,23.249583333333334,8.4,1.2,13.2,24.4,225
2020-03-11,385509.32,1013950.98,22.6875,13.1,8.8,4.2,31.6,256
2020-03-12,336082.95,1211373.53,12.23625,15.4,7.5,1.0,31.9,255
2020-03-13,372641.64,1092172.64,16.537499999999998,8.7,2.9,0.9,31.8,273
2020-03-14,393557.3,562961.42,30.267083333333332,7.9,-1.3,0.1,10.0,79
2020-03-15,297794.65,966167.08,4.648333333333333,10.4,-0.4,0.0,16.4,148
2020-03-16,598054.61,568842.86,31.190833333333334,16.2,-0.1,0.0,10.4,174
2020-03-17,623198.66,586541.67,28.182916666666667,13.8,4.5,2.0,11.3,256
2020-03-18,536347.98,719845.16,26.41875,15.8,2.5,0.0,9.1,172
2020-03-19,646936.66,383653.16,28.690833333333334,17.1,3.3,0.0,9.4,128
2020-03-20,543355.08,527855.23,25.135416666666668,16.4,4.4,1.4,14.8,43
2020-03-21,266777.93,944361.54,10.736666666666666,6.2,0.8,6.0,24.5,52
2020-03-22,260187.93,969434.27,-0.9470833333333335,3.5,-2.9,0.0,20.3,75
2020-03-23,348488.5,893104.81,16.982916666666664,4.1,-5.1,0.0,16.4,83
2020-03-24,423642.77999999997,827900.17,20.451666666666664,5.8,-4.9,0.0,17.3,78
2020-03-25,455915.48,828957.22,23.06125,6.7,-4.0,0.0,23.8,86
2020-03-26,434197.56,816459.27,22.229166666666668,8.5,-2.3,0.0,25.1,86
2020-03-27,420507.38,780961.57,21.548333333333332,16.1,3.5,0.0,20.1,84
2020-03-28,303909.21,766408.38,14.241666666666667,16.7,3.4,0.0,15.4,27
2020-03-29,246757.5,872634.41,4.222608695652174,8.7,1.5,0.0,19.1,7
2020-03-30,449685.0,644529.65,23.320000000000004,5.2,-3.7,0.0,18.9,24
2020-03-31,526652.46,494009.02,25.17,4.8,-3.4,0.2,12.9,37
2020-04-01,458109.62,679186.91,23.360833333333332,7.8,-4.3,0.0,11.0,143
2020-04-02,399346.83,826079.8,19.951666666666664,11.8,-3.5,0.0,10.4,238
2020-04-03,379615.81,764406.05,22.532916666666665,9.9,-0.6,0.0,13.5,280
2020-04-04,346684.73,539686.11,20.145416666666666,12.6,-0.2,0.0,10.7,355
2020-04-05,221848.79,896473.16,2.6816666666666666,15.1,2.3,0.0,17.2,92
2020-04-06,288114.68,808755.9,17.335416666666667,18.7,2.4,0.0,11.3,139
2020-04-07,399758.91,555851.95,23.539583333333336,21.0,2.8,0.0,12.9,64
2020-04-08,412692.22,549345.55,26.512083333333333,20.7,6.2,0.0,11.2,88
2020-04-09,418792.68,542420.09,23.510416666666668,20.6,4.4,0.0,11.9,354
2020-04-10,296009.94,493433.82,23.13875,20.2,8.6,0.0,14.2,9
2020-04-11,278387.22,490347.46,20.855833333333333,18.7,5.1,0.0,10.5,30
2020-04-12,249053.32,550164.77,12.450000000000001,21.7,4.6,0.0,13.8,247
2020-04-13,204282.71,875000.49,-15.96625,18.4,2.8,6.9,19.5,310
2020-04-14,276643.31,705582.19,19.900000000000002,6.8,-0.8,0.0,16.9,326
2020-04-15,283233.69,729619.73,20.170833333333334,14.6,-2.6,0.0,9.8,237
2020-04-16,359550.17,564126.03,25.316666666666666,21.0,1.2,0.0,13.3,227
2020-04-17,384315.01,489051.45,27.77,22.2,7.2,0.0,12.3,297
2020-04-18,287425.02,584597.32,20.234583333333333,20.5,8.4,0.0,9.7,353
2020-04-19,249926.27,794927.46,7.410833333333334,15.7,8.6,1.6,20.5,51
2020-04-20,236063.02,1053472.23,2.4416666666666664,15.5,4.9,0.0,26.6,77
2020-04-21,218578.73,1151305.34,-16.149583333333336,17.1,5.7,0.0,27.8,83
2020-04-22,235970.0,1001110.1,7.87625,18.4,6.2,0.0,22.9,79
2020-04-23,361605.48,586362.51,27.756249999999998,19.2,6.3,0.0,14.8,76
2020-04-24,307238.54,723863.87,20.65041666666667,20.5,4.7,0.0,20.8,265
2020-04-25,264666.58,596835.21,16.862083333333334,15.7,6.7,0.0,14.4,334
2020-04-26,300177.36,452979.25,18.889166666666664,17.8,2.2,0.0,8.1,92
2020-04-27,425528.43,487146.71,25.499583333333334,20.1,4.1,1.6,14.0,167
2020-04-28,478238.35,447452.25,25.060000000000002,19.5,8.2,0.2,13.7,229
2020-04-29,457451.36,492526.17,23.052916666666665,15.6,8.9,2.8,18.6,264
2020-04-30,309166.84,737659.17,20.004166666666666,16.6,6.5,2.4,20.0,207
2020-05-01,228457.36000000002,724489.47,6.53125,15.7,7.0,2.1,18.4,237
2020-05-02,228017.21,662955.08,12.47375,14.0,5.8,0.7,26.3,266
2020-05-03,254071.47999999998,495521.98,14.055416666666666,14.4,4.9,0.6,15.1,289
2020-05-04,414582.01,485496.96,26.37708333333333,17.6,6.3,3.2,15.5,255
2020-05-05,394821.2,612635.73,21.71875,13.7,3.8,0.0,17.4,355
2020-05-06,379336.59,677053.15,21.486666666666665,12.5,0.3,0.0,11.6,353
2020-05-07,405584.15,571245.88,23.830416666666665,19.0,4.0,0.0,12.1,304
2020-05-08,416549.17,497537.2,23.782916666666665,23.7,6.5,0.0,10.7,333
2020-05-09,334696.89,449108.49,21.98375,23.0,10.9,0.2,10.5,31
2020-05-10,250810.11,586035.4,12.579583333333334,20.6,10.9,2.8,11.3,174
2020-05-11,267711.22000000003,898727.42,14.069166666666668,17.5,2.7,22.4,27.3,12
2020-05-12,367182.04,693669.04,22.273750000000003,11.1,-1.0,0.0,15.9,329
2020-05-13,474045.7,507312.87,29.758333333333336,13.7,0.6,3.3,11.2,352
2020-05-14,440338.13,567760.09,22.78625,13.1,6.5,2.9,16.1,29
2020-05-15,374312.57,666961.98,21.08375,13.7,6.7,0.0,17.9,40
2020-05-16,276683.77,717373.08,16.955833333333334,17.6,4.2,0.0,11.9,205
2020-05-17,247741.13,749384.35,9.462916666666667,18.2,4.3,0.0,13.5,313
2020-05-18,341323.81,705410.56,19.7425,21.3,4.7,0.0,10.6,308
2020-05-19,392333.03,598178.6,23.687083333333334,23.8,8.8,0.0,15.9,342
2020-05-20,463952.3,403736.97,32.05166666666667,18.4,10.3,0.0,13.2,20
2020-05-21,289624.77,508790.92,19.579583333333332,22.3,9.3,0.0,12.0,31
