Datum,Leistung nicht erneuerbar (MW),Leistung erneuerbar (MW),Day Ahead Auktion Preis (EUR/MWh)
2019-12-30 00:00:00,14233.89,29930.56,11.07
2019-12-30 01:00:00,14154.34,30166.97,11.84
2019-12-30 02:00:00,13251.87,30427.25,6.16
2019-12-30 03:00:00,13186.11,31289.24,1.4
2019-12-30 04:00:00,13045.57,32203.27,4.81
2019-12-30 05:00:00,14504.05,32795.8,16.43
2019-12-30 06:00:00,15723.8,33329.26,26.9
2019-12-30 07:00:00,17142.23,34181.73,30.38
2019-12-30 08:00:00,17647.28,35692.01,32.04
2019-12-30 09:00:00,17744.92,38669.4,31.9
2019-12-30 10:00:00,16966.05,42187.58,29.06
2019-12-30 11:00:00,15504.73,44229.29,26.94
2019-12-30 12:00:00,15616.61,44990.75,30.3
2019-12-30 13:00:00,16391.4,43200.62,30.61
2019-12-30 14:00:00,16879.56,39464.46,31.53
2019-12-30 15:00:00,17849.29,36176.4,33.61
2019-12-30 16:00:00,18235.7,36746.92,35.25
2019-12-30 17:00:00,19116.78,38542.8,38.09
2019-12-30 18:00:00,19446.0,39461.47,39.35
2019-12-30 19:00:00,18810.21,39664.2,31.58
2019-12-30 20:00:00,18009.24,39578.32,30.68
2019-12-30 21:00:00,17220.98,39681.31,29.67
2019-12-30 22:00:00,16653.29,38731.69,29.68
2019-12-30 23:00:00,15352.44,37988.99,24.33
2019-12-31 00:00:00,14263.16,37176.1,24.14
2019-12-31 01:00:00,13720.11,36652.74,22.12
2019-12-31 02:00:00,13015.87,36820.61,13.01
2019-12-31 03:00:00,12388.32,36918.48,4.97
2019-12-31 04:00:00,12818.45,36679.6,9.81
2019-12-31 05:00:00,13700.46,35568.84,18.37
2019-12-31 06:00:00,15391.86,33813.0,23.5
2019-12-31 07:00:00,16992.08,32006.71,27.17
2019-12-31 08:00:00,18643.52,31124.77,36.56
2019-12-31 09:00:00,19162.51,31860.7,40.43
2019-12-31 10:00:00,19347.65,33220.51,32.22
2019-12-31 11:00:00,19388.77,34539.04,38.98
2019-12-31 12:00:00,19624.11,33456.83,38.6
2019-12-31 13:00:00,19387.15,29785.46,37.9
2019-12-31 14:00:00,19332.83,25684.92,38.0
2019-12-31 15:00:00,19713.09,21176.66,39.58
2019-12-31 16:00:00,20159.47,19038.89,42.28
2019-12-31 17:00:00,20450.42,18292.28,46.06
2019-12-31 18:00:00,20292.18,17614.36,47.73
2019-12-31 19:00:00,19807.88,17125.83,46.0
2019-12-31 20:00:00,19362.08,16243.37,42.2
2019-12-31 21:00:00,19041.35,14927.18,39.74
2019-12-31 22:00:00,18913.0,14573.41,38.88
2019-12-31 23:00:00,18483.79,14037.87,37.39
2020-01-01 00:00:00,18754.7,13961.99,41.88
2020-01-01 01:00:00,18337.54,14242.17,38.6
2020-01-01 02:00:00,18122.83,14584.2,36.55
2020-01-01 03:00:00,18323.93,14746.24,32.32
2020-01-01 04:00:00,18327.59,14924.48,30.85
2020-01-01 05:00:00,18324.47,14938.29,30.14
2020-01-01 06:00:00,18221.29,14725.34,30.17
2020-01-01 07:00:00,18390.06,14675.23,30.0
2020-01-01 08:00:00,19000.18,14970.91,30.65
2020-01-01 09:00:00,19230.0,17688.5,30.65
2020-01-01 10:00:00,19431.74,21280.78,30.27
2020-01-01 11:00:00,19434.07,24125.41,30.34
2020-01-01 12:00:00,19526.85,25535.6,30.99
2020-01-01 13:00:00,19205.37,25065.94,30.04
2020-01-01 14:00:00,20025.27,21618.42,30.75
2020-01-01 15:00:00,20618.05,17043.21,32.11
2020-01-01 16:00:00,20996.11,15955.7,35.98
2020-01-01 17:00:00,21077.03,17832.3,40.4
2020-01-01 18:00:00,20939.01,19743.12,44.05
2020-01-01 19:00:00,20395.29,20897.21,43.15
2020-01-01 20:00:00,20720.54,21299.67,43.45
2020-01-01 21:00:00,20687.92,21405.38,40.68
2020-01-01 22:00:00,20582.26,20161.48,40.27
2020-01-01 23:00:00,20164.93,19672.0,34.85
2020-01-02 00:00:00,19677.8,19554.05,35.4
2020-01-02 01:00:00,19621.5,19162.95,31.98
2020-01-02 02:00:00,19422.25,19123.99,30.5
2020-01-02 03:00:00,18735.69,18639.57,28.79
2020-01-02 04:00:00,17588.91,18653.6,28.42
2020-01-02 05:00:00,18335.92,19159.36,28.75
2020-01-02 06:00:00,19907.98,20296.14,34.16
2020-01-02 07:00:00,21027.57,21369.72,42.07
2020-01-02 08:00:00,22033.22,22281.88,44.89
2020-01-02 09:00:00,22625.17,25484.68,45.26
2020-01-02 10:00:00,22916.06,28231.0,45.57
2020-01-02 11:00:00,22837.65,29494.6,45.09
2020-01-02 12:00:00,22869.88,29165.99,45.16
2020-01-02 13:00:00,23047.34,27745.41,44.9
2020-01-02 14:00:00,22493.35,26062.73,44.06
2020-01-02 15:00:00,22311.84,24217.82,44.84
2020-01-02 16:00:00,22158.86,24453.14,44.4
2020-01-02 17:00:00,22071.97,26727.27,46.05
2020-01-02 18:00:00,22649.89,28919.49,46.72
2020-01-02 19:00:00,22928.2,30217.49,45.26
2020-01-02 20:00:00,22228.3,30974.01,39.32
2020-01-02 21:00:00,20754.05,31699.88,34.06
2020-01-02 22:00:00,19732.95,31877.9,32.22
2020-01-02 23:00:00,17026.11,32108.09,24.99
2020-01-03 00:00:00,16707.06,33219.26,21.47
2020-01-03 01:00:00,15795.7,34480.72,13.04
2020-01-03 02:00:00,14980.66,35273.61,1.53
2020-01-03 03:00:00,14819.77,36143.25,0.14
2020-01-03 04:00:00,14828.99,37400.62,0.85
2020-01-03 05:00:00,15238.45,38530.21,9.92
2020-01-03 06:00:00,16210.65,40103.72,24.48
2020-01-03 07:00:00,18146.17,40894.16,26.68
2020-01-03 08:00:00,18976.33,41453.16,28.81
2020-01-03 09:00:00,19534.71,42238.63,29.28
2020-01-03 10:00:00,19810.4,43620.24,28.85
2020-01-03 11:00:00,20276.5,44518.18,31.8
2020-01-03 12:00:00,20748.48,43074.45,37.94
2020-01-03 13:00:00,20338.39,42207.86,37.9
2020-01-03 14:00:00,19861.39,41698.89,38.11
2020-01-03 15:00:00,19758.79,40574.26,37.91
2020-01-03 16:00:00,20185.48,41424.66,38.44
2020-01-03 17:00:00,19982.64,42131.62,40.47
2020-01-03 18:00:00,19428.49,43344.54,41.35
2020-01-03 19:00:00,18109.47,42865.16,33.37
2020-01-03 20:00:00,17349.9,42007.54,28.89
2020-01-03 21:00:00,16187.13,41068.57,27.7
2020-01-03 22:00:00,15495.93,40444.27,25.7
2020-01-03 23:00:00,15026.85,39860.3,22.04
2020-01-04 00:00:00,14089.63,39147.71,22.9
2020-01-04 01:00:00,13956.59,37956.77,15.95
2020-01-04 02:00:00,14539.13,36693.8,16.63
2020-01-04 03:00:00,14633.49,36401.12,6.45
2020-01-04 04:00:00,14081.67,37773.54,3.83
2020-01-04 05:00:00,14481.46,39561.64,0.12
2020-01-04 06:00:00,14670.65,41650.69,0.07
2020-01-04 07:00:00,15249.97,42596.78,19.07
2020-01-04 08:00:00,16179.63,43755.56,17.49
2020-01-04 09:00:00,16854.43,46085.16,23.98
2020-01-04 10:00:00,16233.64,48252.09,8.8
2020-01-04 11:00:00,16631.73,49803.17,17.95
2020-01-04 12:00:00,16717.05,50491.93,19.5
2020-01-04 13:00:00,16503.47,49794.31,13.74
2020-01-04 14:00:00,17209.88,48154.69,17.42
2020-01-04 15:00:00,17663.09,45931.73,20.38
2020-01-04 16:00:00,18484.36,44964.65,25.08
2020-01-04 17:00:00,20108.09,43708.53,28.88
2020-01-04 18:00:00,20484.11,41721.73,32.02
2020-01-04 19:00:00,20242.92,38853.35,35.35
2020-01-04 20:00:00,20476.53,36054.6,29.98
2020-01-04 21:00:00,20276.37,32490.58,34.46
2020-01-04 22:00:00,20797.34,28955.35,39.75
2020-01-04 23:00:00,20756.17,26241.98,37.95
2020-01-05 00:00:00,19479.12,23951.62,33.1
2020-01-05 01:00:00,19305.05,22106.38,32.28
2020-01-05 02:00:00,18637.01,20562.92,31.18
2020-01-05 03:00:00,18707.59,19448.09,30.1
2020-01-05 04:00:00,18864.45,18662.24,29.96
2020-01-05 05:00:00,18944.21,18363.18,29.88
2020-01-05 06:00:00,19311.11,18020.72,30.38
2020-01-05 07:00:00,19907.18,17547.7,31.15
2020-01-05 08:00:00,20477.55,17398.17,32.09
2020-01-05 09:00:00,21244.58,18956.34,34.27
2020-01-05 10:00:00,21587.99,20848.47,37.53
2020-01-05 11:00:00,21982.82,22284.41,38.99
2020-01-05 12:00:00,21717.61,22193.02,38.15
2020-01-05 13:00:00,21673.77,21440.65,35.37
2020-01-05 14:00:00,21909.68,20452.92,34.44
2020-01-05 15:00:00,22207.8,19753.01,36.1
2020-01-05 16:00:00,22516.61,20863.45,40.59
2020-01-05 17:00:00,23034.66,22847.05,44.68
2020-01-05 18:00:00,23294.81,23951.17,46.16
2020-01-05 19:00:00,23134.05,24039.24,44.62
2020-01-05 20:00:00,22835.14,24844.75,39.5
2020-01-05 21:00:00,23057.24,25474.15,35.76
2020-01-05 22:00:00,22477.56,25359.14,36.49
2020-01-05 23:00:00,21880.21,25165.21,30.49
2020-01-06 00:00:00,21244.44,25475.99,29.16
2020-01-06 01:00:00,20877.36,24799.11,29.0
2020-01-06 02:00:00,20994.08,24321.04,29.08
2020-01-06 03:00:00,20825.27,23962.15,27.72
2020-01-06 04:00:00,21712.58,23979.88,27.03
2020-01-06 05:00:00,23658.98,23543.23,28.98
2020-01-06 06:00:00,25491.65,22774.97,33.18
2020-01-06 07:00:00,27324.99,22008.68,43.13
2020-01-06 08:00:00,28242.34,21574.86,44.52
2020-01-06 09:00:00,28748.88,23517.9,44.96
2020-01-06 10:00:00,28776.91,25950.04,44.0
2020-01-06 11:00:00,29183.88,27255.12,42.46
2020-01-06 12:00:00,29091.51,28192.2,41.3
2020-01-06 13:00:00,28641.39,27477.45,40.51
2020-01-06 14:00:00,29108.54,25257.01,41.22
2020-01-06 15:00:00,29241.05,22313.21,43.28
2020-01-06 16:00:00,29525.06,21994.9,43.68
2020-01-06 17:00:00,30134.31,24066.83,47.9
2020-01-06 18:00:00,30363.78,25552.93,48.91
2020-01-06 19:00:00,30621.68,26554.72,45.04
2020-01-06 20:00:00,29755.5,27610.25,40.28
2020-01-06 21:00:00,27731.58,28233.66,33.89
